Initializing Parameters Merge
Initializing Parameters Split
Reading train dataset for 1 scales
Reading train dataset for 2 scales
Reading train dataset for 3 scales
Reading test dataset for 5 scales
TRAINING --> | Epoch 0 | Iter 0 / 8192 | Loss 85.96346282958984 | Accuracy Train 0.0 | Elapsed 1.333191156387329 | dynamic True | Learning Rate 0.001
TRAINING --> | Epoch 6 | Iter 2688 / 8192 | Loss 0.2328961342573166 | Accuracy Train 0.8828125 | Elapsed 0.8854312896728516 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 2816 / 8192 | Loss 0.3622586131095886 | Accuracy Train 0.8828125 | Elapsed 0.8814535140991211 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 2944 / 8192 | Loss 0.24436549842357635 | Accuracy Train 0.90625 | Elapsed 0.8820481300354004 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 3072 / 8192 | Loss 0.2927842140197754 | Accuracy Train 0.8671875 | Elapsed 0.9457571506500244 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 3200 / 8192 | Loss 0.28797680139541626 | Accuracy Train 0.859375 | Elapsed 0.8858656883239746 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 3328 / 8192 | Loss 0.2871459424495697 | Accuracy Train 0.8515625 | Elapsed 0.8821690082550049 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 3456 / 8192 | Loss 0.3181179165840149 | Accuracy Train 0.890625 | Elapsed 0.9299306869506836 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 3584 / 8192 | Loss 0.3622133433818817 | Accuracy Train 0.84375 | Elapsed 0.8866870403289795 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 3712 / 8192 | Loss 0.31629127264022827 | Accuracy Train 0.8984375 | Elapsed 0.8812429904937744 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 3840 / 8192 | Loss 0.2895723581314087 | Accuracy Train 0.8359375 | Elapsed 0.8828413486480713 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 3968 / 8192 | Loss 0.29611021280288696 | Accuracy Train 0.859375 | Elapsed 0.9298000335693359 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 4096 / 8192 | Loss 0.2912987470626831 | Accuracy Train 0.90625 | Elapsed 0.8833563327789307 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 4224 / 8192 | Loss 0.32781073451042175 | Accuracy Train 0.828125 | Elapsed 0.8830926418304443 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 4352 / 8192 | Loss 0.21874725818634033 | Accuracy Train 0.8984375 | Elapsed 0.8858139514923096 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 4480 / 8192 | Loss 0.23744551837444305 | Accuracy Train 0.8515625 | Elapsed 0.8822915554046631 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 4608 / 8192 | Loss 0.22305290400981903 | Accuracy Train 0.890625 | Elapsed 0.8859348297119141 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 4736 / 8192 | Loss 0.35728949308395386 | Accuracy Train 0.859375 | Elapsed 0.8838860988616943 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 4864 / 8192 | Loss 0.3232906758785248 | Accuracy Train 0.8515625 | Elapsed 0.8859782218933105 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 4992 / 8192 | Loss 0.2623057961463928 | Accuracy Train 0.8828125 | Elapsed 0.8817529678344727 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 5120 / 8192 | Loss 0.25222861766815186 | Accuracy Train 0.8671875 | Elapsed 0.884423017501831 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 5248 / 8192 | Loss 0.24325132369995117 | Accuracy Train 0.8984375 | Elapsed 0.9144248962402344 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 5376 / 8192 | Loss 0.24932657182216644 | Accuracy Train 0.8984375 | Elapsed 0.8819060325622559 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 5504 / 8192 | Loss 0.22640971839427948 | Accuracy Train 0.90625 | Elapsed 0.8825421333312988 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 5632 / 8192 | Loss 0.29706132411956787 | Accuracy Train 0.890625 | Elapsed 0.8843629360198975 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 5760 / 8192 | Loss 0.2171318382024765 | Accuracy Train 0.9296875 | Elapsed 0.899728536605835 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 5888 / 8192 | Loss 0.29301032423973083 | Accuracy Train 0.9140625 | Elapsed 0.8896946907043457 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 6016 / 8192 | Loss 0.2796759009361267 | Accuracy Train 0.859375 | Elapsed 0.8853421211242676 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 6144 / 8192 | Loss 0.31752485036849976 | Accuracy Train 0.8515625 | Elapsed 0.8895442485809326 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 6272 / 8192 | Loss 0.2931823432445526 | Accuracy Train 0.8359375 | Elapsed 0.8822112083435059 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 6400 / 8192 | Loss 0.17642538249492645 | Accuracy Train 0.90625 | Elapsed 0.8829736709594727 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 6528 / 8192 | Loss 0.3023581802845001 | Accuracy Train 0.859375 | Elapsed 0.8859560489654541 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 6656 / 8192 | Loss 0.30569618940353394 | Accuracy Train 0.8828125 | Elapsed 0.8870012760162354 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 6784 / 8192 | Loss 0.3012934625148773 | Accuracy Train 0.8359375 | Elapsed 0.8845925331115723 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 6912 / 8192 | Loss 0.30393826961517334 | Accuracy Train 0.8046875 | Elapsed 0.8927741050720215 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 7040 / 8192 | Loss 0.2761058807373047 | Accuracy Train 0.859375 | Elapsed 0.8888936042785645 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 7168 / 8192 | Loss 0.23719412088394165 | Accuracy Train 0.90625 | Elapsed 0.8910272121429443 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 7296 / 8192 | Loss 0.2579718232154846 | Accuracy Train 0.90625 | Elapsed 0.8855757713317871 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 7424 / 8192 | Loss 0.291944682598114 | Accuracy Train 0.8671875 | Elapsed 0.8875598907470703 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 7552 / 8192 | Loss 0.23776733875274658 | Accuracy Train 0.8984375 | Elapsed 0.886676549911499 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 7680 / 8192 | Loss 0.2666969895362854 | Accuracy Train 0.921875 | Elapsed 0.9078633785247803 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 7808 / 8192 | Loss 0.2840613126754761 | Accuracy Train 0.9140625 | Elapsed 0.8841855525970459 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 7936 / 8192 | Loss 0.28580641746520996 | Accuracy Train 0.875 | Elapsed 0.8862085342407227 | dynamic True | Learning Rate 0.00014285714285714287
TRAINING --> | Epoch 6 | Iter 8064 / 8192 | Loss 0.21494010090827942 | Accuracy Train 0.90625 | Elapsed 0.9361834526062012 | dynamic True | Learning Rate 0.00014285714285714287
Saving model parameters
TRAINING --> | Epoch 7 | Iter 0 / 8192 | Loss 0.3679051399230957 | Accuracy Train 0.765625 | Elapsed 0.8856964111328125 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 128 / 8192 | Loss 0.24512706696987152 | Accuracy Train 0.875 | Elapsed 0.8858330249786377 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 256 / 8192 | Loss 0.26595720648765564 | Accuracy Train 0.9296875 | Elapsed 0.8878355026245117 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 384 / 8192 | Loss 0.31203290820121765 | Accuracy Train 0.875 | Elapsed 0.8837652206420898 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 512 / 8192 | Loss 0.33179569244384766 | Accuracy Train 0.8671875 | Elapsed 0.8844544887542725 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 640 / 8192 | Loss 0.28687959909439087 | Accuracy Train 0.875 | Elapsed 0.8860466480255127 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 768 / 8192 | Loss 0.3300764858722687 | Accuracy Train 0.84375 | Elapsed 0.9039440155029297 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 896 / 8192 | Loss 0.23892323672771454 | Accuracy Train 0.8828125 | Elapsed 0.8844935894012451 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 1024 / 8192 | Loss 0.33294039964675903 | Accuracy Train 0.875 | Elapsed 0.8962528705596924 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 1152 / 8192 | Loss 0.27503082156181335 | Accuracy Train 0.8515625 | Elapsed 0.887312650680542 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 1280 / 8192 | Loss 0.2838384807109833 | Accuracy Train 0.8828125 | Elapsed 0.8893337249755859 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 1408 / 8192 | Loss 0.2391728162765503 | Accuracy Train 0.859375 | Elapsed 0.8846466541290283 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 1536 / 8192 | Loss 0.21331070363521576 | Accuracy Train 0.9296875 | Elapsed 0.887078046798706 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 1664 / 8192 | Loss 0.3297566771507263 | Accuracy Train 0.8671875 | Elapsed 0.8945097923278809 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 1792 / 8192 | Loss 0.2833700180053711 | Accuracy Train 0.84375 | Elapsed 0.8843891620635986 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 1920 / 8192 | Loss 0.23881404101848602 | Accuracy Train 0.90625 | Elapsed 0.8967618942260742 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 2048 / 8192 | Loss 0.21457040309906006 | Accuracy Train 0.9375 | Elapsed 0.8869373798370361 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 2176 / 8192 | Loss 0.28195834159851074 | Accuracy Train 0.8984375 | Elapsed 0.9106199741363525 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 2304 / 8192 | Loss 0.34716546535491943 | Accuracy Train 0.859375 | Elapsed 0.8851308822631836 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 2432 / 8192 | Loss 0.252288281917572 | Accuracy Train 0.8828125 | Elapsed 0.9394407272338867 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 2560 / 8192 | Loss 0.24870964884757996 | Accuracy Train 0.8984375 | Elapsed 0.8881480693817139 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 2688 / 8192 | Loss 0.27968645095825195 | Accuracy Train 0.8828125 | Elapsed 0.8848075866699219 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 2816 / 8192 | Loss 0.3946255147457123 | Accuracy Train 0.8671875 | Elapsed 0.8862190246582031 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 2944 / 8192 | Loss 0.2112153023481369 | Accuracy Train 0.8984375 | Elapsed 0.9363405704498291 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 3072 / 8192 | Loss 0.31474024057388306 | Accuracy Train 0.8046875 | Elapsed 0.8906755447387695 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 3200 / 8192 | Loss 0.26710304617881775 | Accuracy Train 0.8671875 | Elapsed 0.893298864364624 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 3328 / 8192 | Loss 0.29644232988357544 | Accuracy Train 0.8515625 | Elapsed 0.8868362903594971 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 3456 / 8192 | Loss 0.2825514078140259 | Accuracy Train 0.890625 | Elapsed 0.9160463809967041 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 3584 / 8192 | Loss 0.33625587821006775 | Accuracy Train 0.828125 | Elapsed 0.8887131214141846 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 3712 / 8192 | Loss 0.24808447062969208 | Accuracy Train 0.90625 | Elapsed 0.8903248310089111 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 3840 / 8192 | Loss 0.29877519607543945 | Accuracy Train 0.84375 | Elapsed 0.8869411945343018 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 3968 / 8192 | Loss 0.28125113248825073 | Accuracy Train 0.8671875 | Elapsed 0.9241745471954346 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 4096 / 8192 | Loss 0.27296924591064453 | Accuracy Train 0.90625 | Elapsed 0.9112682342529297 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 4224 / 8192 | Loss 0.3185352683067322 | Accuracy Train 0.8515625 | Elapsed 0.8876399993896484 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 4352 / 8192 | Loss 0.26624596118927 | Accuracy Train 0.8984375 | Elapsed 0.8887851238250732 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 4480 / 8192 | Loss 0.28575047850608826 | Accuracy Train 0.828125 | Elapsed 0.8894839286804199 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 4608 / 8192 | Loss 0.20217522978782654 | Accuracy Train 0.8828125 | Elapsed 0.9207274913787842 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 4736 / 8192 | Loss 0.31300586462020874 | Accuracy Train 0.84375 | Elapsed 0.8862509727478027 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 4864 / 8192 | Loss 0.33226603269577026 | Accuracy Train 0.859375 | Elapsed 0.9464666843414307 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 4992 / 8192 | Loss 0.24129676818847656 | Accuracy Train 0.90625 | Elapsed 0.8883588314056396 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 5120 / 8192 | Loss 0.2668382525444031 | Accuracy Train 0.84375 | Elapsed 0.8858063220977783 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 5248 / 8192 | Loss 0.2937546670436859 | Accuracy Train 0.8984375 | Elapsed 0.8871839046478271 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 5376 / 8192 | Loss 0.27957621216773987 | Accuracy Train 0.8984375 | Elapsed 0.8929712772369385 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 5504 / 8192 | Loss 0.20686101913452148 | Accuracy Train 0.890625 | Elapsed 0.8895788192749023 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 5632 / 8192 | Loss 0.29163092374801636 | Accuracy Train 0.890625 | Elapsed 0.8854961395263672 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 5760 / 8192 | Loss 0.2034580558538437 | Accuracy Train 0.890625 | Elapsed 0.886446475982666 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 5888 / 8192 | Loss 0.25245600938796997 | Accuracy Train 0.9453125 | Elapsed 0.8884866237640381 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 6016 / 8192 | Loss 0.2201392650604248 | Accuracy Train 0.890625 | Elapsed 0.9370965957641602 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 6144 / 8192 | Loss 0.2537109851837158 | Accuracy Train 0.8828125 | Elapsed 0.886345624923706 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 6272 / 8192 | Loss 0.21939502656459808 | Accuracy Train 0.8984375 | Elapsed 0.8932020664215088 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 6400 / 8192 | Loss 0.23066365718841553 | Accuracy Train 0.8984375 | Elapsed 0.8887307643890381 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 6528 / 8192 | Loss 0.30753380060195923 | Accuracy Train 0.8046875 | Elapsed 0.8917880058288574 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 6656 / 8192 | Loss 0.3304530680179596 | Accuracy Train 0.8515625 | Elapsed 0.9286983013153076 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 6784 / 8192 | Loss 0.2881995439529419 | Accuracy Train 0.8515625 | Elapsed 0.8868470191955566 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 6912 / 8192 | Loss 0.26621925830841064 | Accuracy Train 0.8359375 | Elapsed 0.9209103584289551 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 7040 / 8192 | Loss 0.23515670001506805 | Accuracy Train 0.8515625 | Elapsed 0.8897218704223633 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 7168 / 8192 | Loss 0.2621273398399353 | Accuracy Train 0.890625 | Elapsed 0.8874702453613281 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 7296 / 8192 | Loss 0.24698877334594727 | Accuracy Train 0.9296875 | Elapsed 0.8896579742431641 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 7424 / 8192 | Loss 0.27557554841041565 | Accuracy Train 0.875 | Elapsed 0.8893144130706787 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 7552 / 8192 | Loss 0.24284276366233826 | Accuracy Train 0.921875 | Elapsed 0.9017775058746338 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 7680 / 8192 | Loss 0.23314273357391357 | Accuracy Train 0.90625 | Elapsed 0.9421899318695068 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 7808 / 8192 | Loss 0.3021145462989807 | Accuracy Train 0.84375 | Elapsed 0.8871417045593262 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 7936 / 8192 | Loss 0.2624121308326721 | Accuracy Train 0.8984375 | Elapsed 0.9331891536712646 | dynamic True | Learning Rate 0.000125
TRAINING --> | Epoch 7 | Iter 8064 / 8192 | Loss 0.20844054222106934 | Accuracy Train 0.8984375 | Elapsed 0.8910245895385742 | dynamic True | Learning Rate 0.000125
Saving model parameters
TRAINING --> | Epoch 8 | Iter 0 / 8192 | Loss 0.40892013907432556 | Accuracy Train 0.7421875 | Elapsed 0.8884470462799072 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 128 / 8192 | Loss 0.262749582529068 | Accuracy Train 0.8671875 | Elapsed 0.89188551902771 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 256 / 8192 | Loss 0.23146343231201172 | Accuracy Train 0.9609375 | Elapsed 0.889456033706665 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 384 / 8192 | Loss 0.2913370132446289 | Accuracy Train 0.8671875 | Elapsed 0.8896646499633789 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 512 / 8192 | Loss 0.3070492148399353 | Accuracy Train 0.84375 | Elapsed 0.8866980075836182 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 640 / 8192 | Loss 0.2582884430885315 | Accuracy Train 0.890625 | Elapsed 0.8877897262573242 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 768 / 8192 | Loss 0.28516069054603577 | Accuracy Train 0.8828125 | Elapsed 0.8888227939605713 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 896 / 8192 | Loss 0.18602542579174042 | Accuracy Train 0.8984375 | Elapsed 0.8906974792480469 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 1024 / 8192 | Loss 0.30412930250167847 | Accuracy Train 0.8828125 | Elapsed 0.8878509998321533 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 1152 / 8192 | Loss 0.30460217595100403 | Accuracy Train 0.8515625 | Elapsed 0.8873083591461182 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 1280 / 8192 | Loss 0.25967666506767273 | Accuracy Train 0.8515625 | Elapsed 0.8890228271484375 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 1408 / 8192 | Loss 0.2488250732421875 | Accuracy Train 0.8828125 | Elapsed 0.8908884525299072 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 1536 / 8192 | Loss 0.18880657851696014 | Accuracy Train 0.9765625 | Elapsed 0.8865706920623779 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 1664 / 8192 | Loss 0.25137394666671753 | Accuracy Train 0.875 | Elapsed 0.8876416683197021 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 1792 / 8192 | Loss 0.2802934944629669 | Accuracy Train 0.8671875 | Elapsed 0.8890678882598877 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 1920 / 8192 | Loss 0.2290152609348297 | Accuracy Train 0.9140625 | Elapsed 0.927487850189209 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 2048 / 8192 | Loss 0.23103845119476318 | Accuracy Train 0.8984375 | Elapsed 0.8866629600524902 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 2176 / 8192 | Loss 0.3276366591453552 | Accuracy Train 0.8828125 | Elapsed 0.8888700008392334 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 2304 / 8192 | Loss 0.2925887703895569 | Accuracy Train 0.8359375 | Elapsed 0.8898215293884277 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 2432 / 8192 | Loss 0.27456924319267273 | Accuracy Train 0.890625 | Elapsed 0.8933477401733398 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 2560 / 8192 | Loss 0.26742082834243774 | Accuracy Train 0.875 | Elapsed 0.8864891529083252 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 2688 / 8192 | Loss 0.22947117686271667 | Accuracy Train 0.890625 | Elapsed 0.8886868953704834 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 2816 / 8192 | Loss 0.2889680564403534 | Accuracy Train 0.890625 | Elapsed 0.8921530246734619 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 2944 / 8192 | Loss 0.27037313580513 | Accuracy Train 0.9140625 | Elapsed 0.8917624950408936 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 3072 / 8192 | Loss 0.29483598470687866 | Accuracy Train 0.8359375 | Elapsed 0.9116580486297607 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 3200 / 8192 | Loss 0.25318822264671326 | Accuracy Train 0.8828125 | Elapsed 0.8895304203033447 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 3328 / 8192 | Loss 0.26665863394737244 | Accuracy Train 0.859375 | Elapsed 0.8907670974731445 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 3456 / 8192 | Loss 0.32142698764801025 | Accuracy Train 0.9140625 | Elapsed 0.942816972732544 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 3584 / 8192 | Loss 0.31387871503829956 | Accuracy Train 0.875 | Elapsed 0.9301190376281738 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 3712 / 8192 | Loss 0.22922250628471375 | Accuracy Train 0.90625 | Elapsed 0.8887746334075928 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 3840 / 8192 | Loss 0.24744665622711182 | Accuracy Train 0.8671875 | Elapsed 0.8913772106170654 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 3968 / 8192 | Loss 0.3031059503555298 | Accuracy Train 0.8671875 | Elapsed 0.8917286396026611 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 4096 / 8192 | Loss 0.24457412958145142 | Accuracy Train 0.9140625 | Elapsed 0.8903274536132812 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 4224 / 8192 | Loss 0.26947325468063354 | Accuracy Train 0.921875 | Elapsed 0.8895502090454102 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 4352 / 8192 | Loss 0.21527378261089325 | Accuracy Train 0.9296875 | Elapsed 0.890408992767334 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 4480 / 8192 | Loss 0.21769794821739197 | Accuracy Train 0.8984375 | Elapsed 0.8920001983642578 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 4608 / 8192 | Loss 0.21548902988433838 | Accuracy Train 0.8984375 | Elapsed 0.8880515098571777 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 4736 / 8192 | Loss 0.27413684129714966 | Accuracy Train 0.8515625 | Elapsed 0.9103219509124756 | dynamic True | Learning Rate 0.00011111111111111112
TRAINING --> | Epoch 8 | Iter 4864 / 8192 | Loss 0.29966995120048523 | Accuracy Train 0.8203125 | Elapsed 0.8900346755981445 | dynamic True | Learning Rate 0.00011111111111111112
